Département,Insécurité (Y=1),Sécurité (Y=0),% Y=1
Atacora,282,955,22.797089733225544
Couffo,187,953,16.403508771929825
Collines,173,926,15.741583257506825
Zou,158,1200,11.634756995581737
Plateau,88,872,9.166666666666666
Ouémé,151,1666,8.310401761144744
Alibori,103,1173,8.072100313479623
Borgou,140,1649,7.8256008943543875
Mono,58,761,7.0818070818070815
Atlantique,102,1397,6.804536357571714
Donga,43,797,5.119047619047619
Littoral,17,1101,1.520572450805009
