,OR,IC_2.5pct,IC_97.5pct,p_value,signif
log_depenses_alim,0.8517055693897746,0.821096606055473,0.8834555782837473,8.278302184514007e-18,***
vente_actifs_productifs,2.07099247798617,1.639847027559587,2.615493867289672,9.782368155243087e-10,***
electricite,0.494748340207066,0.38505798191696955,0.6356858749403304,3.743779656491695e-08,***
indice_logement,0.80515912525195,0.73407326782008,0.8831287630206659,4.319990004777578e-06,***
superficie_emblavee,0.839643869828679,0.7767402711903636,0.9076416587239079,1.0875481771176838e-05,***
tlu,0.9287004807457192,0.8948587338589954,0.9638220540329814,9.400121873565753e-05,***
assistance_recue,1.720403452159964,1.2798556339548603,2.3125952331497976,0.00032458848312552543,***
departement_2,2.2853035097123295,1.4507054533909336,3.600049975200659,0.0003644742667635308,***
pratique_agriculture,2.2400845530162385,1.4289044527767125,3.511766510987347,0.0004383784555397578,***
taille_menage,1.030623309253723,1.0099145742062314,1.051756685868155,0.003584402992029374,***
securite_fonciere,0.6659136289689151,0.5018687871262292,0.8835794785839441,0.004836543505018115,***
activite_principale_Commerce,0.6299064301474823,0.45654666485541406,0.8690943145248992,0.004888544363094009,***
instruction_cm,0.8308396193014764,0.7261233058616294,0.9506573710396307,0.007014525951612514,***
taux_scolarisation,0.6181088435960127,0.42988223777136886,0.8887516369885381,0.00941841615255154,***
departement_9,0.40089449864993676,0.19693624647611246,0.8160833870024957,0.011723444302199296,***
toilette_amelioree,0.6965693236334195,0.5252757112482048,0.9237221753012813,0.012040828620322254,***
statut_matrimonial_6,0.3335058767197449,0.14048318928582235,0.7917400677764276,0.01279759480576655,***
departement_7,0.4846066666220528,0.26246754211836626,0.8947530023679229,0.02059052808277862,***
departement_8,0.4418790900990034,0.2088388805658494,0.9349654132299192,0.032694104276397754,***
capacite_relevement,0.828354108238574,0.6946575352556357,0.9877824594290345,0.03600760805704724,***
diversification_revenus,0.8230011384511352,0.6859684520241974,0.9874081991571996,0.03605274086332945,***
log_revenu,0.9662400449428087,0.9349975920381981,0.998526447983557,0.04057001435978062,***
departement_11,0.6167745952680219,0.3657665306338397,1.0400374815837177,0.06987667279892969,
eau_amelioree,0.831179717620449,0.6802761158898183,1.015557810786797,0.07046089722126363,
statut_matrimonial_2,0.6895893873460764,0.45711711387165405,1.0402881640389727,0.07644767356246289,
departement_5,1.6118371430014957,0.9425930780095608,2.7562466096667775,0.08116254074777884,
proprietaire_animaux,0.8410356915462319,0.6883024197287516,1.0276602466883666,0.09043241774247754,
activite_principale_Elevage_peche,0.7093260057488595,0.47660585449730714,1.0556802390988547,0.09047923720576939,
cultures_irriguees,0.6962858958202617,0.44646701438568037,1.0858899607293673,0.1103668174304815,
rural,1.1655247245876985,0.9455066027556364,1.4367407690925642,0.15128697510200487,
activite_principale_Autre,1.4133097112604107,0.8768050326131461,2.2780940638422122,0.15554441631578833,
a_transfert,1.8192716887747056,0.734840917152548,4.504035363738582,0.19572106339680417,
departement_3,0.7528450677093688,0.45654028276362174,1.2414582400996534,0.2659468170097513,
departement_12,0.7639060348620802,0.47257409714846965,1.2348379515929535,0.2717282433590609,
femmes_proprietaires,1.153696224999227,0.8647875965030859,1.539123577812228,0.33097057568774035,
temps_eau,0.9634082492755468,0.8838833237714943,1.0500882071309734,0.39639579848474216,
choc_subi,0.5340245444804338,0.12291238043442212,2.32020739570404,0.40259873331995977,
sexe_cm,0.9068684874626176,0.7111652804582086,1.1564266087664616,0.43058870426460927,
activite_principale_Transferts_aides,0.8682861009470926,0.5861718167344105,1.2861770756875193,0.481106145022722,
type_choc_Economique,1.7391490523247486,0.36741618705328816,8.232188816883546,0.4853838866726138,
type_choc_Sanitaire,1.7017597911648323,0.36682976968608966,7.894632950056318,0.4970962218501138,
statut_matrimonial_5,0.8747082632871206,0.5380496677059098,1.4220147168290258,0.5892496075028564,
mois_couverture_stocks,0.9884776548118838,0.9465122824174237,1.0323036395966108,0.6005626478981028,
nb_contributeurs,0.9880728309030335,0.9439446722036051,1.0342639223648833,0.6067428513097541,
semences_ameliorees,0.8820941233737126,0.5386572302803364,1.444499393585588,0.6181025116416339,
contribution_principale,1.0012526925735328,0.9963064338364964,1.0062235074859212,0.62027219161499,
departement_10,1.1132387107179655,0.6953595427050392,1.782244077962831,0.6550374704166352,
credit,1.0439182292521139,0.8640973027210113,1.261160364617778,0.6558847689042195,
type_choc_Climatique,1.3856002781837453,0.29786451742802816,6.445508003036203,0.6775462251792388,
type_choc_Autre,1.3836868761066525,0.2969976756866502,6.446479308914827,0.6791380611595733,
log_transfert_migrants,0.9745132393628919,0.852285018522044,1.1142704999559887,0.7057506445654482,
statut_matrimonial_3,0.8892466644559128,0.4793573334140041,1.649624560062828,0.7096609877697316,
departement_6,0.9219438759634587,0.5534901100994662,1.535674251295615,0.7549019049242475,
activite_principale_Salarie_travail,1.0573039526370935,0.7348703904294253,1.5212092674039783,0.7640124589134349,
departement_4,1.0767070354643518,0.6465223502500868,1.7931291002855436,0.7764101542843189,
ratio_dependance,1.0053446797534582,0.9387541920566408,1.0766587607926237,0.8788346341014941,
age_cm,0.999799421594197,0.994292985069046,1.0053363529972772,0.9432464911597875,
statut_matrimonial_4,1.0062002175416955,0.5022006226389099,2.0160048238508756,0.986091350562731,
